Order_ID,Category,City,Customer_Age,Price,Quantity,Delivery_Time_mins,Payment_Method,Rating,Order_Status
ZPT2000,Personal Care,Pune,19.0,,8.0,26.0,Debit Card,3.0,Delivered
ZPT2001,Dairy & Eggs,Mumbai,53.0,2126.57,8.0,17.0,UPI,2.0,Returned
ZPT2002,Bakery,Ahmedabad,58.0,45.26,8.0,23.0,Wallet,5.0,
ZPT2003,Snacks,Mumbai,27.0,1771.35,7.0,23.0,Wallet,4.0,Pending
ZPT2004,Beverages,Pune,58.0,2457.07,10.0,25.0,UPI,1.0,Cancelled
ZPT2005,Dairy & Eggs,Chennai,36.0,418.03,5.0,300.0,Credit Card,1.0,
ZPT2006,Bakery,Chennai,22.0,,11.0,15.0,Debit Card,,Cancelled
ZPT2007,Personal Care,Pune,23.0,480.05,12.0,40.0,,4.0,Cancelled
ZPT2008,Snacks,Pune,19.0,2075.74,6.0,37.0,Credit Card,,Pending
ZPT2009,Cleaning,Kolkata,41.0,1297.64,1.0,38.0,Credit Card,2.0,Returned
ZPT2010,fruits & vegetables,Chennai,53.0,2057.98,3.0,10.0,UPI,3.0,
ZPT2011,Dairy & Eggs,,19.0,449.21,12.0,15.0,Wallet,1.0,Returned
ZPT2012,Cleaning,Hyderabad,47.0,1041.94,1.0,29.0,Credit Card,1.0,Pending
ZPT2013,Meat & Fish,Bangalore,56.0,989.05,10.0,22.0,,4.0,
ZPT2014,Meat & Fish,,61.0,1120.32,10.0,37.0,,2.0,
ZPT2015,Bakery,Kolkata,41.0,530.91,,28.0,Cash,1.0,Cancelled
ZPT2016,Dairy & Eggs,,20.0,,7.0,25.0,,5.0,Pending
ZPT2017,Dairy & Eggs,Chennai,,2459.63,5.0,15.0,Debit Card,5.0,Returned
ZPT2018,Beverages,Kolkata,30.0,2181.4,11.0,14.0,Debit Card,1.0,Returned
ZPT2019,Snacks,,,2390.71,11.0,49.0,Debit Card,3.0,
ZPT2010,Bakery,,26.0,1514.54,5.0,11.0,,2.0,
ZPT2021,Meat & Fish,Pune,38.0,1967.53,9.0,37.0,Credit Card,2.0,Cancelled
ZPT2022,Dairy & Eggs,,,820.72,7.0,19.0,Cash,3.0,Returned
ZPT2023,Meat & Fish,Mumbai,33.0,326.22,5.0,43.0,Wallet,5.0,Returned
ZPT2024,Fruits & Vegetables,,45.0,971.89,14.0,15.0,,3.0,Pending
ZPT2025,Meat & Fish,Delhi,55.0,2025.49,13.0,15.0,Debit Card,3.0,Returned
ZPT2026,Bakery,,64.0,183.53,10.0,40.0,UPI,5.0,Returned
ZPT2027,Meat & Fish,Delhi,54.0,1024.55,1.0,15.0,,3.0,Delivered
ZPT2028,Personal Care,Pune,62.0,1262.81,13.0,17.0,Wallet,2.0,Pending
ZPT2029,Fruits & Vegetables,Hyderabad,35.0,958.06,11.0,39.0,Wallet,1.0,Delivered
ZPT2030,Beverages,Delhi,27.0,990.66,1.0,37.0,Cash,1.0,Cancelled
ZPT2031,Snacks,,50.0,2165.57,5.0,25.0,,1.0,
ZPT2032,Fruits & Vegetables,Bangalore,39.0,374.93,12.0,38.0,,1.0,Delivered
ZPT2033,Bakery,Bangalore,59.0,1265.16,3.0,12.0,UPI,1.0,Returned
ZPT2034,Snacks,Kolkata,53.0,2074.5,7.0,13.0,UPI,4.0,Delivered
ZPT2035,Cleaning,,37.0,403.85,5.0,46.0,,4.0,Returned
ZPT2036,Meat & Fish,Ahmedabad,40.0,1500.16,10.0,45.0,Cash,4.0,Delivered
ZPT2037,Beverages,Delhi,44.0,1560.29,14.0,42.0,UPI,2.0,
ZPT2038,Cleaning,Chennai,23.0,2183.11,7.0,30.0,,2.0,Pending
ZPT2039,Meat & Fish,,30.0,900.18,2.0,14.0,UPI,1.0,
ZPT2040,Personal Care,Pune,50.0,,9.0,27.0,,5.0,Delivered
ZPT2041,Meat & Fish,Mumbai,45.0,555.06,13.0,15.0,Cash,,Pending
ZPT2042,Bakery,Kolkata,19.0,2210.78,3.0,10.0,,,Delivered
ZPT2043,Beverages,Mumbai,62.0,146.77,5.0,27.0,Debit Card,1.0,
ZPT2044,Snacks,,29.0,2398.71,1.0,30.0,Cash,7.0,Pending
ZPT2045,Dairy & Eggs,Ahmedabad,29.0,451.33,5.0,19.0,Debit Card,2.0,Delivered
ZPT2046,Snacks,Kolkata,47.0,652.6,1.0,,Cash,4.0,Cancelled
ZPT2047,Meat & Fish,,49.0,1390.93,2.0,11.0,Cash,4.0,
ZPT2048,Fruits & Vegetables,Mumbai,59.0,2443.33,8.0,28.0,Debit Card,5.0,Cancelled
ZPT2049,Bakery,,51.0,585.41,5.0,13.0,Credit Card,2.0,Delivered
ZPT2050,SNACKS,Delhi,30.0,1641.1,1.0,28.0,Debit Card,2.0,Delivered
ZPT2051,Snacks,,31.0,1918.48,5.0,49.0,UPI,,
ZPT2052,Dairy & Eggs,,30.0,317.79,4.0,15.0,Debit Card,3.0,Pending
ZPT2053,Meat & Fish,Bangalore,53.0,1991.45,5.0,13.0,Cash,5.0,Delivered
ZPT2054,Dairy & Eggs,Hyderabad,42.0,1424.59,9.0,27.0,,4.0,Returned
ZPT2045,Meat & Fish,Hyderabad,58.0,634.86,12.0,39.0,Wallet,1.0,Pending
ZPT2056,Dairy & Eggs,Pune,,805.86,12.0,36.0,Wallet,5.0,
ZPT2057,Meat & Fish,Hyderabad,58.0,598.67,12.0,12.0,UPI,3.0,
ZPT2058,Cleaning,,29.0,1770.73,8.0,33.0,Cash,3.0,Cancelled
ZPT2059,Fruits & Vegetables,Kolkata,18.0,266.87,14.0,,,3.0,Cancelled
ZPT2060,Personal Care,,41.0,563.67,10.0,26.0,,3.0,Pending
ZPT2061,Cleaning,,29.0,,4.0,31.0,,3.0,Pending
ZPT2062,Beverages,,53.0,1154.5,5.0,39.0,Debit Card,3.0,Pending
ZPT2063,Fruits & Vegetables,,56.0,1149.54,1.0,45.0,Credit Card,3.0,Pending
ZPT2064,Dairy & Eggs,,20.0,1934.0,9.0,43.0,Credit Card,2.0,
ZPT2065,Personal Care,Kolkata,60.0,1106.91,2.0,33.0,Wallet,2.0,Cancelled
ZPT2066,Personal Care,Bangalore,37.0,1785.96,8.0,41.0,Cash,5.0,Returned
ZPT2067,Personal Care,Mumbai,36.0,1752.85,7.0,43.0,UPI,5.0,Pending
ZPT2068,Cleaning,Mumbai,58.0,812.71,14.0,19.0,Wallet,1.0,Delivered
ZPT2069,Fruits & Vegetables,,45.0,1031.49,2.0,,UPI,,
ZPT2070,Cleaning,Ahmedabad,53.0,88.07,5.0,35.0,Cash,5.0,
ZPT2071,Meat & Fish,Bangalore,63.0,513.14,4.0,16.0,,2.0,Returned
ZPT2072,Fruits & Vegetables,Kolkata,47.0,1418.02,9.0,46.0,Wallet,3.0,
ZPT2073,Meat & Fish,Kolkata,39.0,1964.09,8.0,20.0,Debit Card,5.0,Delivered
ZPT2074,Dairy & Eggs,Mumbai,59.0,1081.9,5.0,34.0,Credit Card,5.0,Pending
ZPT2075,Bakery,,62.0,623.92,10.0,15.0,,1.0,
ZPT2076,Cleaning,Pune,54.0,2102.38,9.0,37.0,UPI,4.0,Returned
ZPT2077,Meat & Fish,Chennai,51.0,1208.55,5.0,9.0,UPI,5.0,
ZPT2078,Beverages,Ahmedabad,63.0,1226.06,1.0,47.0,Credit Card,2.0,
ZPT2079,Meat & Fish,,47.0,2363.31,14.0,24.0,Credit Card,2.0,Returned
ZPT2080,Beverages,Pune,49.0,857.06,10.0,9.0,Cash,,Pending
ZPT2081,Meat & Fish,,29.0,2320.77,9.0,39.0,Debit Card,5.0,Pending
ZPT2082,Beverages,Mumbai,48.0,443.57,7.0,24.0,UPI,4.0,
ZPT2083,Meat & Fish,Bangalore,29.0,46.52,3.0,19.0,Debit Card,5.0,
ZPT2084,Dairy & Eggs,Kolkata,62.0,2211.79,1.0,48.0,,1.0,Cancelled
ZPT2085,Cleaning,Pune,54.0,2430.41,4.0,38.0,UPI,1.0,Pending
ZPT2086,Cleaning,Bangalore,59.0,2249.95,9.0,37.0,Credit Card,1.0,Delivered
ZPT2087,Personal Care,Ahmedabad,41.0,644.26,10.0,23.0,Cash,2.0,Returned
ZPT2088,Fruits & Vegetables,Delhi,48.0,855.21,1.0,-10.0,Credit Card,1.0,Pending
ZPT2089,Meat & Fish,Bangalore,45.0,1784.72,1.0,48.0,UPI,,Delivered
ZPT2090, Dairy & Eggs ,Mumbai,55.0,2085.77,7.0,11.0,Wallet,5.0,
ZPT2091,Dairy & Eggs,Kolkata,41.0,195.41,10.0,9.0,UPI,1.0,Returned
ZPT2092,Personal Care,Delhi,60.0,1218.97,2.0,18.0,Cash,4.0,Returned
ZPT2093,Cleaning,Mumbai,45.0,2428.58,14.0,14.0,Debit Card,2.0,Pending
ZPT2094,Dairy & Eggs,Hyderabad,55.0,1965.48,8.0,31.0,Wallet,1.0,Returned
ZPT2095,Meat & Fish,Delhi,50.0,402.95,1.0,32.0,Cash,2.0,Delivered
ZPT2096,Personal Care,Pune,21.0,1986.22,5.0,26.0,Cash,3.0,
ZPT2097,Beverages,,25.0,2158.13,8.0,19.0,,3.0,Returned
ZPT2098,Personal Care,Kolkata,46.0,2250.38,2.0,26.0,Cash,5.0,Pending
ZPT2099,Fruits & Vegetables,Chennai,63.0,356.56,1.0,33.0,Credit Card,1.0,Cancelled
ZPT2100,Bakery,,59.0,1451.53,1.0,16.0,,3.0,Returned
ZPT2101,Bakery,Delhi,23.0,460.99,4.0,43.0,Wallet,1.0,
ZPT2102,Bakery,Kolkata,63.0,1433.59,8.0,30.0,UPI,2.0,Pending
ZPT2103,Fruits & Vegetables,Hyderabad,57.0,1235.09,6.0,12.0,,5.0,Cancelled
ZPT2104,Snacks,Bangalore,32.0,378.8,2.0,25.0,Credit Card,4.0,
ZPT2105,Snacks,Pune,52.0,512.0,8.0,29.0,UPI,,Pending
ZPT2106,Dairy & Eggs,Kolkata,53.0,1759.48,4.0,34.0,Debit Card,2.0,
ZPT2107,Personal Care,Ahmedabad,50.0,36.48,7.0,48.0,,4.0,Delivered
ZPT2108,Cleaning,,58.0,1417.81,7.0,10.0,UPI,1.0,
ZPT2109,Cleaning,Pune,45.0,1429.96,6.0,9.0,,1.0,
ZPT2100,Snacks,,18.0,167.39,7.0,8.0,Wallet,,
ZPT2111,Beverages,Hyderabad,32.0,554.9,4.0,28.0,,3.0,Cancelled
ZPT2112,Bakery,Chennai,59.0,389.83,7.0,49.0,,4.0,Pending
ZPT2113,Snacks,Bangalore,50.0,400.67,14.0,15.0,Cash,1.0,Pending
ZPT2114,Beverages,Mumbai,54.0,473.74,3.0,20.0,,4.0,Cancelled
ZPT2115,Cleaning,Pune,45.0,1679.61,12.0,22.0,Cash,1.0,
ZPT2116,Beverages,,35.0,2189.75,1.0,30.0,,3.0,Delivered
ZPT2117,Beverages,Kolkata,31.0,1432.51,10.0,27.0,,4.0,Cancelled
ZPT2118,Meat & Fish,Pune,43.0,332.97,6.0,9.0,UPI,4.0,Returned
ZPT2119,Personal Care,,28.0,650.85,10.0,29.0,,4.0,
ZPT2120,Beverages,Kolkata,49.0,1005.99,10.0,34.0,Debit Card,1.0,Pending
ZPT2121,Bakery,Ahmedabad,44.0,1842.18,13.0,48.0,,2.0,Returned
ZPT2122,Personal Care,Ahmedabad,40.0,132.54,1.0,28.0,UPI,1.0,Cancelled
ZPT2123,Personal Care,Ahmedabad,28.0,2145.68,8.0,21.0,Wallet,3.0,Delivered
ZPT2124,Bakery,,,1058.29,11.0,22.0,Credit Card,5.0,Delivered
ZPT2125,Cleaning,Chennai,51.0,2438.61,2.0,9.0,,5.0,
ZPT2126,Fruits & Vegetables,Kolkata,56.0,1096.7,11.0,11.0,,3.0,Cancelled
ZPT2127,Dairy & Eggs,,,1899.77,14.0,49.0,Cash,3.0,Returned
ZPT2128,Fruits & Vegetables,Hyderabad,,420.54,3.0,22.0,Debit Card,5.0,
ZPT2129,Beverages,Chennai,45.0,363.11,4.0,22.0,Wallet,5.0,Cancelled
ZPT2130,beverages,,20.0,1381.95,7.0,31.0,,2.0,
ZPT2131,Snacks,Pune,57.0,1900.22,5.0,22.0,Debit Card,2.0,
ZPT2132,Meat & Fish,Hyderabad,52.0,394.9,6.0,13.0,Credit Card,1.0,Cancelled
ZPT2133,Bakery,Ahmedabad,21.0,420.71,10.0,31.0,,3.0,Delivered
ZPT2134,Fruits & Vegetables,Kolkata,33.0,596.88,8.0,16.0,Credit Card,3.0,
ZPT2135,Snacks,Delhi,48.0,113.64,3.0,19.0,,4.0,Returned
ZPT2136,Dairy & Eggs,,47.0,783.43,3.0,27.0,UPI,3.0,Pending
ZPT2137,Personal Care,Kolkata,28.0,1574.51,6.0,33.0,Cash,3.0,Cancelled
ZPT2138,Fruits & Vegetables,Ahmedabad,52.0,2212.23,5.0,44.0,,1.0,Pending
ZPT2139,Cleaning,,44.0,2157.99,1.0,39.0,Debit Card,1.0,Returned
ZPT2140,Snacks,,24.0,716.47,4.0,21.0,Cash,4.0,Returned
ZPT2141,Meat & Fish,Delhi,51.0,297.02,5.0,11.0,Credit Card,1.0,
ZPT2142,Cleaning,Pune,29.0,2013.08,11.0,39.0,Cash,4.0,Returned
ZPT2143,Cleaning,Hyderabad,48.0,1302.05,3.0,23.0,UPI,3.0,Delivered
ZPT2144,Cleaning,,24.0,854.92,6.0,14.0,Credit Card,5.0,
ZPT2145,Cleaning,Chennai,33.0,,5.0,45.0,Debit Card,3.0,Returned
ZPT2146,Dairy & Eggs,Mumbai,49.0,263.7,11.0,47.0,UPI,2.0,Delivered
ZPT2147,Bakery,Delhi,21.0,1694.44,7.0,35.0,Debit Card,5.0,
ZPT2148,Personal Care,Bangalore,29.0,2377.42,12.0,19.0,Cash,4.0,Returned
ZPT2149,Bakery,Pune,46.0,1566.27,10.0,14.0,Cash,5.0,Delivered
ZPT2150,Cleaning,,24.0,1519.06,10.0,46.0,Cash,4.0,
ZPT2151,Meat & Fish,Bangalore,25.0,208.71,8.0,44.0,Credit Card,5.0,
ZPT2152,Cleaning,Chennai,38.0,1872.48,7.0,22.0,,1.0,Cancelled
ZPT2153,Dairy & Eggs,Hyderabad,59.0,,6.0,36.0,Debit Card,2.0,Delivered
ZPT2154,Meat & Fish,Mumbai,43.0,170.72,13.0,28.0,,3.0,Returned
ZPT2155,Meat & Fish,,52.0,1459.39,7.0,999.0,Credit Card,2.0,Returned
ZPT2156,Beverages,Kolkata,25.0,550.48,10.0,17.0,UPI,4.0,Cancelled
ZPT2157,Snacks,Kolkata,39.0,305.43,3.0,33.0,,4.0,Delivered
ZPT2158,Snacks,Hyderabad,23.0,2105.57,4.0,48.0,UPI,5.0,
ZPT2159,Personal Care,Chennai,48.0,2355.57,3.0,48.0,Debit Card,2.0,
ZPT2160,Cleaning,,19.0,73.3,1.0,,UPI,3.0,Returned
ZPT2161,Personal Care,Mumbai,39.0,125.9,2.0,32.0,,1.0,Pending
ZPT2162,Snacks,Mumbai,52.0,1738.7,10.0,38.0,Cash,,Cancelled
ZPT2163,Meat & Fish,,57.0,774.8,6.0,25.0,,1.0,
ZPT2164,Cleaning,Mumbai,,629.8,14.0,35.0,Wallet,1.0,
ZPT2165,Beverages,Mumbai,24.0,2466.25,11.0,8.0,Debit Card,1.0,Pending
ZPT2166,Cleaning,Bangalore,41.0,2485.75,10.0,42.0,Cash,,Cancelled
ZPT2167,Fruits & Vegetables,Bangalore,36.0,2234.95,7.0,14.0,,1.0,Cancelled
ZPT2168,Meat & Fish,Ahmedabad,26.0,1999.85,2.0,30.0,Cash,1.0,Returned
ZPT2169,Meat & Fish,Hyderabad,40.0,1480.77,4.0,34.0,UPI,3.0,Cancelled
ZPT2170,CLEANING,Hyderabad,45.0,578.63,6.0,48.0,UPI,3.0,Returned
ZPT2171,Beverages,,22.0,455.09,14.0,8.0,Wallet,1.0,Delivered
ZPT2172,Beverages,,63.0,651.43,11.0,18.0,UPI,3.0,Delivered
ZPT2173,Beverages,Pune,33.0,1600.3,14.0,17.0,,5.0,
ZPT2174,Personal Care,Delhi,50.0,1558.81,2.0,18.0,Cash,1.0,Returned
ZPT2175,Cleaning,,19.0,778.02,5.0,42.0,Wallet,5.0,Returned
ZPT2176,Bakery,Pune,41.0,334.14,7.0,26.0,UPI,4.0,Cancelled
ZPT2177,Snacks,Hyderabad,34.0,382.34,12.0,21.0,UPI,1.0,Cancelled
ZPT2178,Dairy & Eggs,Mumbai,39.0,1272.51,7.0,49.0,Wallet,4.0,Returned
ZPT2179,Dairy & Eggs,Delhi,29.0,2305.3,8.0,35.0,Wallet,4.0,Pending
ZPT2180,Meat & Fish,Kolkata,21.0,864.98,13.0,44.0,,2.0,Delivered
ZPT2181,Dairy & Eggs,Mumbai,48.0,850.37,11.0,26.0,,4.0,
ZPT2182,Fruits & Vegetables,Chennai,37.0,373.93,13.0,40.0,Wallet,1.0,Delivered
ZPT2183,Fruits & Vegetables,Hyderabad,51.0,1923.38,6.0,13.0,,1.0,Returned
ZPT2184,Fruits & Vegetables,,28.0,973.42,2.0,23.0,Cash,5.0,Cancelled
ZPT2185,Personal Care,,32.0,1336.7,4.0,15.0,Cash,,Delivered
ZPT2186,Fruits & Vegetables,Chennai,49.0,1818.69,9.0,49.0,UPI,4.0,Cancelled
ZPT2187,Snacks,Chennai,23.0,304.51,10.0,39.0,UPI,3.0,Delivered
ZPT2188,Meat & Fish,Chennai,47.0,1731.75,4.0,27.0,Credit Card,5.0,Cancelled
ZPT2189,Snacks,Hyderabad,28.0,409.87,3.0,29.0,Credit Card,,
ZPT2190,Meat & Fish,Chennai,34.0,54.8,1.0,29.0,,2.0,
ZPT2191,Bakery,,41.0,1194.36,10.0,15.0,UPI,3.0,
ZPT2192,Personal Care,Hyderabad,18.0,226.57,5.0,31.0,Debit Card,5.0,
ZPT2193,Dairy & Eggs,Bangalore,25.0,590.97,6.0,11.0,,4.0,Returned
ZPT2194,Beverages,Bangalore,41.0,1882.03,9.0,15.0,Wallet,4.0,Returned
ZPT2195,Bakery,Ahmedabad,54.0,2043.87,4.0,47.0,Debit Card,5.0,
ZPT2196,Fruits & Vegetables,Pune,59.0,945.63,1.0,33.0,Cash,4.0,Cancelled
ZPT2197,Cleaning,Chennai,43.0,2394.74,6.0,19.0,Credit Card,3.0,Delivered
ZPT2198,Personal Care,Kolkata,32.0,820.07,11.0,33.0,,1.0,
ZPT2199,Cleaning,Pune,42.0,307.36,6.0,30.0,UPI,4.0,Returned
ZPT2190,Cleaning,Kolkata,36.0,1429.99,5.0,38.0,,0.0,
ZPT2201,Fruits & Vegetables,Mumbai,18.0,313.87,6.0,34.0,Wallet,1.0,Pending
ZPT2202,Fruits & Vegetables,Bangalore,27.0,2070.21,9.0,35.0,Debit Card,4.0,Returned
ZPT2203,Bakery,,64.0,150.56,14.0,29.0,UPI,3.0,
ZPT2204,Personal Care,Chennai,19.0,210.76,9.0,49.0,Wallet,1.0,Pending
ZPT2205,Bakery,,30.0,345.43,14.0,14.0,Debit Card,5.0,Returned
ZPT2206,Meat & Fish,Hyderabad,42.0,2125.15,3.0,43.0,,1.0,Delivered
ZPT2207,Meat & Fish,Hyderabad,,97.83,10.0,16.0,,,
